entry_time,exit_time,direction,entry_price,exit_price,sl_price,lots,pnl,highest_rr,closed_rr,exit_reason
2024-01-03 11:00:00,2024-01-04 08:45:00,SHORT,16498.45,16385.63,16528.87,0.07,789.74,4.84,3.71,Opposite signal — full exit
2024-01-04 09:00:00,2024-01-04 10:45:00,LONG,16402.48,16399.48,16379.12,0.09,-27.0,0.76,-0.13,Opposite signal — full exit
2024-01-04 21:30:00,2024-01-05 16:00:00,SHORT,16316.43,16241.69,16383.5,0.03,224.22,2.08,1.11,Opposite signal — full exit
2024-01-05 16:15:00,2024-01-05 19:00:00,LONG,16261.41,16358.46,16206.45,0.04,388.2,2.86,1.77,Opposite signal — full exit
2024-01-08 13:45:00,2024-01-09 10:00:00,LONG,16305.31,16611.31,16258.39,0.04,1224.0,7.44,6.52,Opposite signal — full exit
2024-01-09 10:15:00,2024-01-09 17:00:00,SHORT,16597.35,16548.81,16617.39,0.1,485.4,4.66,2.42,Opposite signal — full exit
2024-01-10 14:00:00,2024-01-10 17:15:00,SHORT,16693.43,16695.43,16729.68,0.06,-12.0,1.19,-0.06,Opposite signal — full exit
2024-01-10 17:30:00,2024-01-11 11:30:00,LONG,16707.34,16869.93,16651.99,0.04,650.36,3.53,2.94,Opposite signal — full exit
2024-01-11 17:15:00,2024-01-11 20:45:00,SHORT,16696.43,16754.89,16799.73,0.02,-116.92,0.81,-0.57,Opposite signal — full exit
2024-01-11 21:00:00,2024-01-12 09:30:00,LONG,16790.78,16795.28,16686.12,0.02,9.0,0.46,0.04,Opposite signal — full exit
2024-01-12 09:45:00,2024-01-12 10:15:00,SHORT,16781.44,16813.35,16813.35,0.06,-191.46,0.27,-1.0,SL hit
2024-01-12 10:30:00,2024-01-12 12:00:00,LONG,16818.76,16782.43,16782.43,0.06,-217.96,0.46,-1.0,SL hit
2024-01-12 13:00:00,2024-01-12 15:30:00,SHORT,16782.53,16828.09,16828.09,0.04,-182.25,1.25,-1.0,SL hit
2024-01-12 16:00:00,2024-01-12 17:45:00,LONG,16820.97,16828.7,16762.37,0.03,23.19,1.34,0.13,Opposite signal — full exit
2024-01-16 14:00:00,2024-01-16 19:30:00,LONG,16741.18,16781.21,16697.24,0.05,200.15,3.54,0.91,Opposite signal — full exit
2024-01-16 19:45:00,2024-01-17 11:45:00,SHORT,16777.21,16729.36,16875.11,0.02,95.7,0.97,0.49,Opposite signal — full exit
2024-01-17 15:45:00,2024-01-17 18:00:00,SHORT,16692.03,16639.86,16741.55,0.04,208.68,2.7,1.05,Opposite signal — full exit
2024-01-18 20:15:00,2024-01-18 21:15:00,SHORT,16839.64,16928.59,16928.59,0.02,-177.9,0.27,-1.0,SL hit
2024-01-18 21:30:00,2024-01-19 16:15:00,LONG,16962.77,17079.32,16872.18,0.02,233.1,1.8,1.29,Opposite signal — full exit
2024-01-19 16:30:00,2024-01-19 17:45:00,SHORT,17060.03,17106.61,17106.61,0.04,-186.3,0.49,-1.0,SL hit
2024-01-19 18:15:00,2024-01-22 15:30:00,LONG,17125.81,17427.06,17055.62,0.03,903.75,4.61,4.29,Opposite signal — full exit
2024-01-22 15:45:00,2024-01-22 16:30:00,SHORT,17392.31,17433.85,17433.85,0.05,-207.71,0.77,-1.0,SL hit
2024-01-23 14:15:00,2024-01-23 16:30:00,LONG,17350.72,17316.6,17316.6,0.06,-204.71,1.42,-1.0,SL hit
2024-01-23 23:00:00,2024-01-24 21:00:00,LONG,17401.91,17587.95,17346.49,0.04,744.16,4.77,3.36,Opposite signal — full exit
