entry_time,exit_time,direction,entry_price,exit_price,sl_price,lots,pnl,highest_rr,closed_rr,exit_reason
2026-01-02 15:30:00,2026-01-02 18:00:00,SHORT,4374.58,4324.58,4387.81,0.07,375.0,4.11,3.78,TP1 (+50pts) — 50% partial
2026-01-02 15:30:00,2026-01-05 01:15:00,SHORT,4374.58,4370.17,4374.58,0.07,33.07,4.9,0.33,Opposite signal — runner 50%
2026-01-05 13:30:00,2026-01-05 16:15:00,SHORT,4417.2,4429.07,4429.07,0.17,-201.84,1.78,-1.0,SL hit
2026-01-06 02:45:00,2026-01-06 03:45:00,SHORT,4436.54,4447.7,4447.7,0.18,-200.83,0.8,-1.0,SL hit
2026-01-06 04:15:00,2026-01-06 08:00:00,LONG,4459.48,4452.93,4445.65,0.14,-91.7,1.06,-0.47,Opposite signal — full exit
2026-01-06 09:15:00,2026-01-06 09:45:00,LONG,4468.57,4457.96,4457.96,0.19,-201.51,0.11,-1.0,SL hit
2026-01-06 12:00:00,2026-01-06 13:30:00,SHORT,4446.27,4458.1,4458.1,0.17,-201.14,0.32,-1.0,SL hit
2026-01-06 14:00:00,2026-01-07 03:15:00,LONG,4463.32,4471.1,4453.24,0.2,155.6,3.68,0.77,Opposite signal — full exit
2026-01-07 10:00:00,2026-01-07 13:45:00,LONG,4460.97,4449.07,4449.07,0.17,-202.31,1.17,-1.0,SL hit
2026-01-07 16:00:00,2026-01-07 16:30:00,LONG,4452.95,4438.25,4438.25,0.14,-205.8,0.09,-1.0,SL hit
2026-01-07 17:15:00,2026-01-07 17:30:00,SHORT,4426.7,4443.7,4443.7,0.12,-204.05,0.19,-1.0,SL hit
2026-01-07 18:30:00,2026-01-08 02:45:00,LONG,4457.88,4451.53,4440.66,0.12,-76.2,0.61,-0.37,Opposite signal — full exit
2026-01-08 08:45:00,2026-01-08 10:30:00,LONG,4435.85,4423.15,4423.15,0.16,-203.18,0.3,-1.0,SL hit
2026-01-08 14:15:00,2026-01-08 14:15:00,SHORT,4412.3,4422.27,4422.27,0.2,-199.44,0.44,-1.0,SL hit
2026-01-08 14:45:00,2026-01-08 23:00:00,LONG,4428.97,4478.97,4417.26,0.09,425.0,4.32,4.27,TP1 (+50pts) — 50% partial
2026-01-08 14:45:00,2026-01-09 03:00:00,LONG,4428.97,4462.25,4428.97,0.09,282.88,4.7,2.84,Opposite signal — runner 50%
2026-01-09 04:15:00,2026-01-09 05:15:00,LONG,4471.78,4461.13,4461.13,0.19,-202.39,0.34,-1.0,SL hit
2026-01-09 20:00:00,2026-01-09 20:30:00,SHORT,4484.61,4500.47,4500.47,0.13,-206.17,0.1,-1.0,SL hit
2026-01-09 22:15:00,2026-01-12 02:15:00,LONG,4506.77,4556.77,4494.22,0.08,400.0,4.7,3.98,TP1 (+50pts) — 50% partial
2026-01-09 22:15:00,2026-01-12 04:15:00,LONG,4506.77,4566.81,4506.77,0.08,480.32,7.51,4.78,Opposite signal — runner 50%
2026-01-12 10:00:00,2026-01-12 16:15:00,LONG,4587.69,4596.38,4576.5,0.18,156.42,2.91,0.78,Opposite signal — full exit
2026-01-12 17:15:00,2026-01-12 20:30:00,LONG,4617.47,4605.63,4598.8,0.11,-130.24,0.68,-0.63,Opposite signal — full exit
