entry_time,exit_time,direction,entry_price,exit_price,sl_price,lots,pnl,highest_rr,closed_rr,exit_reason
2024-01-02 21:45:00,2024-01-03 19:45:00,SHORT,37643.76,37525.16,37791.54,1.35,160.11,1.63,0.8,Opposite signal — full exit
2024-01-03 23:00:00,2024-01-04 09:15:00,SHORT,37430.07,37481.2,37615.19,1.08,-55.22,0.1,-0.28,Opposite signal — full exit
2024-01-04 09:30:00,2024-01-04 19:30:00,LONG,37486.7,37572.68,37433.69,3.77,324.14,4.41,1.62,Opposite signal — full exit
2024-01-04 19:45:00,2024-01-05 16:15:00,SHORT,37525.67,37394.8,37683.78,1.26,164.9,1.77,0.83,Opposite signal — full exit
2024-01-05 16:30:00,2024-01-05 19:00:00,LONG,37433.73,37444.57,37293.72,1.43,15.5,1.36,0.08,Opposite signal — full exit
2024-01-05 19:15:00,2024-01-05 21:00:00,SHORT,37372.1,37473.62,37573.02,1.0,-101.52,0.28,-0.51,Opposite signal — full exit
2024-01-05 21:15:00,2024-01-08 03:45:00,LONG,37507.01,37365.7,37312.32,1.03,-145.55,0.04,-0.73,Opposite signal — full exit
2024-01-08 17:30:00,2024-01-09 10:00:00,LONG,37358.95,37616.17,37220.95,1.45,372.97,2.43,1.86,Opposite signal — full exit
2024-01-09 10:15:00,2024-01-09 18:45:00,SHORT,37589.45,37474.53,37636.55,4.25,488.41,4.86,2.44,Opposite signal — full exit
2024-01-09 19:00:00,2024-01-10 13:45:00,LONG,37521.41,37482.7,37395.36,1.59,-61.55,0.23,-0.31,Opposite signal — full exit
2024-01-10 14:00:00,2024-01-10 16:15:00,SHORT,37474.86,37539.49,37539.49,3.09,-199.71,0.05,-1.0,SL hit
2024-01-10 16:30:00,2024-01-10 17:00:00,LONG,37544.39,37582.49,37466.24,2.56,97.54,1.46,0.49,Opposite signal — full exit
2024-01-10 21:30:00,2024-01-11 11:30:00,LONG,37685.37,37771.0,37547.58,1.45,124.16,0.91,0.62,Opposite signal — full exit
2024-01-11 11:45:00,2024-01-11 16:15:00,SHORT,37731.5,37671.0,37796.17,3.09,186.94,2.2,0.94,Opposite signal — full exit
