Trade ID,Entry Time,Exit Time,Direction,Entry Price,Exit Price,Lots,SL at Exit,Exit Reason,PnL ($),Equity ($)
1,2024-04-22 04:15:00,2024-04-22 06:00:00,Short (Partial 50%),2378.98,2366.84,0.16,2378.98,Partial TP 1:2,194.21,10194.21
1,2024-04-22 04:15:00,2024-04-22 06:30:00,Short,2378.98,2368.64,0.16,2368.64,Stop Loss,165.36,10359.57
2,2024-04-22 06:30:00,2024-04-22 08:00:00,Long,2369.36,2368.21,0.31,2362.94,Opposite Signal,-35.65,10323.92
3,2024-04-22 08:00:00,2024-04-22 08:45:00,Short,2368.21,2365.45,0.38,2373.39,Opposite Signal,104.88,10428.8
4,2024-04-22 08:45:00,2024-04-22 09:30:00,Long,2365.45,2359.31,0.32,2359.31,Stop Loss,-196.5,10232.31
5,2024-04-22 09:30:00,2024-04-22 10:45:00,Short,2359.32,2361.02,0.31,2365.76,Opposite Signal,-52.7,10179.61
6,2024-04-22 10:45:00,2024-04-22 13:30:00,Long,2361.02,2356.79,0.32,2354.81,Opposite Signal,-135.36,10044.25
7,2024-04-22 13:30:00,2024-04-22 14:00:00,Short (Partial 50%),2356.79,2347.57,0.21,2356.79,Partial TP 1:2,193.7,10237.94
7,2024-04-22 13:30:00,2024-04-22 14:30:00,Short,2356.79,2346.42,0.22,2346.42,Stop Loss,228.07,10466.01
8,2024-04-22 15:15:00,2024-04-22 15:45:00,Long,2346.63,2339.41,0.27,2339.41,Stop Loss,-194.89,10271.12
9,2024-04-22 15:45:00,2024-04-22 17:30:00,Short,2336.82,2341.22,0.23,2345.19,Opposite Signal,-101.2,10169.92
10,2024-04-22 17:30:00,2024-04-22 18:15:00,Long,2341.22,2334.15,0.22,2332.37,Opposite Signal,-155.54,10014.38
11,2024-04-22 18:15:00,2024-04-22 22:00:00,Short,2334.15,2330.81,0.23,2342.66,Opposite Signal,76.82,10091.2
12,2024-04-22 22:00:00,2024-04-22 23:45:00,Long,2330.81,2326.36,0.33,2324.83,Opposite Signal,-146.85,9944.35
13,2024-04-22 23:45:00,2024-04-23 01:00:00,Short,2326.36,2330.71,0.45,2330.71,Stop Loss,-195.68,9748.67
14,2024-04-23 01:00:00,2024-04-23 01:15:00,Long,2330.67,2326.94,0.43,2326.04,Opposite Signal,-160.39,9588.28
15,2024-04-23 01:15:00,2024-04-23 01:30:00,Short,2326.94,2331.09,0.42,2331.69,Opposite Signal,-174.3,9413.98
16,2024-04-23 01:30:00,2024-04-23 04:15:00,Long,2331.09,2329.72,0.4,2326.18,Opposite Signal,-54.8,9359.18
17,2024-04-23 04:15:00,2024-04-23 04:30:00,Short (Partial 50%),2329.72,2320.72,0.22,2329.72,Partial TP 1:2,198.04,9557.22
17,2024-04-23 04:15:00,2024-04-23 05:00:00,Short,2329.72,2305.06,0.22,2305.06,Stop Loss,542.42,10099.64
18,2024-04-23 05:00:00,2024-04-23 05:45:00,Long,2312.68,2301.87,0.18,2301.87,Stop Loss,-194.56,9905.08
19,2024-04-23 05:45:00,2024-04-23 08:00:00,Short,2301.78,2311.23,0.17,2313.22,Opposite Signal,-160.65,9744.43
20,2024-04-23 08:00:00,2024-04-23 09:00:00,Long,2311.23,2304.69,0.25,2303.26,Opposite Signal,-163.5,9580.93
21,2024-04-23 09:00:00,2024-04-23 10:15:00,Short,2304.69,2308.42,0.26,2312.23,Opposite Signal,-96.98,9483.95
22,2024-04-23 10:15:00,2024-04-23 11:30:00,Long,2308.42,2304.21,0.25,2300.63,Opposite Signal,-105.25,9378.7
23,2024-04-23 11:30:00,2024-04-23 13:30:00,Short,2304.21,2302.96,0.29,2311.02,Opposite Signal,36.25,9414.95
24,2024-04-23 13:30:00,2024-04-23 16:30:00,Long (Partial 50%),2302.96,2316.94,0.14,2302.96,Partial TP 1:2,195.66,9610.61
24,2024-04-23 13:30:00,2024-04-23 17:15:00,Long,2302.96,2323.19,0.14,2323.19,Stop Loss,283.21,9893.82
25,2024-04-23 17:15:00,2024-04-23 19:00:00,Short,2322.09,2326.0,0.21,2331.42,Opposite Signal,-82.11,9811.71
26,2024-04-23 19:00:00,2024-04-23 21:45:00,Long,2326.0,2324.21,0.23,2317.38,Opposite Signal,-41.17,9770.54
27,2024-04-23 21:45:00,2024-04-24 05:45:00,Short,2324.21,2321.55,0.34,2329.94,Opposite Signal,90.44,9860.98
28,2024-04-24 05:45:00,2024-04-24 07:00:00,Long (Partial 50%),2321.55,2329.84,0.24,2321.55,Partial TP 1:2,199.0,10059.98
28,2024-04-24 05:45:00,2024-04-24 07:45:00,Long,2321.55,2325.24,0.24,2325.24,Stop Loss,88.53,10148.5
29,2024-04-24 09:15:00,2024-04-24 11:15:00,Short (Partial 50%),2326.09,2317.37,0.22,2326.09,Partial TP 1:2,191.81,10340.31
29,2024-04-24 09:15:00,2024-04-24 12:45:00,Short,2326.09,2315.97,0.23,2315.97,Stop Loss,232.7,10573.01
30,2024-04-24 13:00:00,2024-04-24 15:00:00,Long,2317.43,2312.79,0.43,2312.79,Stop Loss,-199.65,10373.36
31,2024-04-24 15:00:00,2024-04-24 15:30:00,Short,2313.39,2317.73,0.46,2317.73,Stop Loss,-199.67,10173.69
32,2024-04-24 15:30:00,2024-04-24 17:00:00,Long,2320.38,2317.61,0.37,2315.1,Opposite Signal,-102.49,10071.2
33,2024-04-24 17:00:00,2024-04-24 17:30:00,Short,2317.61,2324.39,0.29,2324.39,Stop Loss,-196.51,9874.69
34,2024-04-24 17:30:00,2024-04-24 18:30:00,Long,2325.48,2324.91,0.28,2318.35,Opposite Signal,-15.96,9858.73
35,2024-04-24 18:30:00,2024-04-24 20:00:00,Short,2324.91,2328.65,0.25,2332.74,Opposite Signal,-93.5,9765.23
36,2024-04-24 20:00:00,2024-04-24 20:15:00,Long,2328.65,2324.25,0.3,2322.06,Opposite Signal,-132.0,9633.23
37,2024-04-24 20:15:00,2024-04-25 03:30:00,Short,2324.25,2318.88,0.28,2331.19,Opposite Signal,150.36,9783.59
38,2024-04-25 03:30:00,2024-04-25 04:00:00,Long,2318.88,2316.07,0.61,2315.65,Opposite Signal,-171.41,9612.18
39,2024-04-25 04:00:00,2024-04-25 04:15:00,Short,2316.07,2319.03,0.6,2319.37,Opposite Signal,-177.6,9434.58
40,2024-04-25 04:15:00,2024-04-25 06:00:00,Long,2319.03,2315.56,0.57,2315.56,Stop Loss,-198.05,9236.53
41,2024-04-25 06:00:00,2024-04-25 06:30:00,Short,2306.74,2311.1,0.37,2312.06,Opposite Signal,-161.32,9075.21
42,2024-04-25 06:30:00,2024-04-25 09:45:00,Long (Partial 50%),2311.1,2321.63,0.18,2311.1,Partial TP 1:2,189.58,9264.79
42,2024-04-25 06:30:00,2024-04-25 12:15:00,Long,2311.1,2325.06,0.19,2325.06,Stop Loss,265.21,9530.0
43,2024-04-25 12:45:00,2024-04-25 13:45:00,Short,2324.92,2328.16,0.52,2328.75,Opposite Signal,-168.48,9361.52
44,2024-04-25 13:45:00,2024-04-25 15:00:00,Long,2328.16,2327.36,0.52,2324.38,Opposite Signal,-41.6,9319.92
45,2024-04-25 15:00:00,2024-04-25 15:30:00,Short,2327.36,2331.52,0.48,2331.52,Stop Loss,-199.51,9120.41
46,2024-04-25 15:30:00,2024-04-25 16:00:00,Long,2329.56,2324.47,0.39,2324.47,Stop Loss,-198.47,8921.94
47,2024-04-25 16:00:00,2024-04-25 16:30:00,Short,2319.67,2324.23,0.28,2326.61,Opposite Signal,-127.68,8794.26
48,2024-04-25 16:30:00,2024-04-25 17:30:00,Long (Partial 50%),2324.23,2340.31,0.12,2324.23,Partial TP 1:2,192.91,8987.17
48,2024-04-25 16:30:00,2024-04-25 18:15:00,Long,2324.23,2332.53,0.12,2326.63,Opposite Signal,99.6,9086.77
49,2024-04-25 18:15:00,2024-04-25 22:15:00,Short,2332.53,2335.31,0.17,2343.66,Opposite Signal,-47.26,9039.51
50,2024-04-25 22:15:00,2024-04-26 02:00:00,Long,2335.31,2331.43,0.35,2329.62,Opposite Signal,-135.8,8903.71
51,2024-04-26 02:00:00,2024-04-26 04:30:00,Short,2331.43,2331.58,0.6,2334.73,Opposite Signal,-9.0,8894.71
52,2024-04-26 04:30:00,2024-04-26 07:15:00,Long (Partial 50%),2331.58,2337.99,0.31,2331.58,Partial TP 1:2,198.65,9093.35
52,2024-04-26 04:30:00,2024-04-26 07:30:00,Long,2331.58,2335.03,0.31,2332.61,Opposite Signal,106.95,9200.3
53,2024-04-26 07:30:00,2024-04-26 08:45:00,Short,2335.03,2337.77,0.55,2338.66,Opposite Signal,-150.7,9049.6
54,2024-04-26 08:45:00,2024-04-26 10:15:00,Long (Partial 50%),2337.77,2345.19,0.26,2337.77,Partial TP 1:2,192.86,9242.47
54,2024-04-26 08:45:00,2024-04-26 12:30:00,Long,2337.77,2348.41,0.27,2348.41,Stop Loss,287.18,9529.64
55,2024-04-26 12:30:00,2024-04-26 15:30:00,Short,2348.32,2348.25,0.39,2353.44,Opposite Signal,2.73,9532.37
56,2024-04-26 15:30:00,2024-04-26 15:45:00,Long,2348.25,2343.2,0.39,2343.2,Stop Loss,-196.93,9335.44
57,2024-04-26 15:45:00,2024-04-26 17:30:00,Short (Partial 50%),2344.72,2333.27,0.17,2344.72,Partial TP 1:2,194.6,9530.04
57,2024-04-26 15:45:00,2024-04-26 19:15:00,Short,2344.72,2338.38,0.17,2338.38,Stop Loss,107.82,9637.86
58,2024-04-26 20:30:00,2024-04-26 23:30:00,Long,2338.91,2337.0,0.32,2332.81,Opposite Signal,-61.12,9576.74
59,2024-04-26 23:30:00,2024-04-29 04:00:00,Short (Partial 50%),2337.0,2329.26,0.25,2337.0,Partial TP 1:2,193.39,9770.13
59,2024-04-26 23:30:00,2024-04-29 04:45:00,Short,2337.0,2330.44,0.26,2330.44,Stop Loss,170.62,9940.74
60,2024-04-29 04:45:00,2024-04-29 05:45:00,Long,2331.0,2325.05,0.33,2325.05,Stop Loss,-196.42,9744.32
61,2024-04-29 05:45:00,2024-04-29 06:45:00,Short,2324.24,2328.36,0.34,2330.04,Opposite Signal,-140.08,9604.24
62,2024-04-29 06:45:00,2024-04-29 08:30:00,Long,2328.36,2330.46,0.39,2323.31,Opposite Signal,81.9,9686.14
63,2024-04-29 08:30:00,2024-04-29 10:00:00,Short,2330.46,2332.02,0.41,2335.25,Opposite Signal,-63.96,9622.18
64,2024-04-29 10:00:00,2024-04-29 11:30:00,Long (Partial 50%),2332.02,2341.0,0.22,2332.02,Partial TP 1:2,197.61,9819.79
64,2024-04-29 10:00:00,2024-04-29 13:30:00,Long,2332.02,2340.32,0.22,2340.32,Stop Loss,182.63,10002.42
65,2024-04-29 14:30:00,2024-04-29 15:30:00,Short (Partial 50%),2338.41,2330.27,0.24,2338.41,Partial TP 1:2,195.28,10197.69
65,2024-04-29 14:30:00,2024-04-29 16:15:00,Short,2338.41,2333.96,0.25,2335.2,Opposite Signal,111.25,10308.94
66,2024-04-29 16:15:00,2024-04-29 16:30:00,Long,2333.96,2329.08,0.4,2329.08,Stop Loss,-195.4,10113.55
67,2024-04-29 20:30:00,2024-04-30 04:15:00,Short,2341.63,2335.26,0.32,2347.72,Opposite Signal,203.84,10317.39
68,2024-04-30 04:15:00,2024-04-30 05:00:00,Long,2335.26,2331.98,0.6,2331.98,Stop Loss,-196.85,10120.54
69,2024-04-30 05:00:00,2024-04-30 08:30:00,Short (Partial 50%),2329.66,2322.3,0.27,2329.66,Partial TP 1:2,198.79,10319.34
69,2024-04-30 05:00:00,2024-04-30 09:45:00,Short,2329.66,2322.84,0.27,2322.84,Stop Loss,184.02,10503.36
70,2024-04-30 12:30:00,2024-04-30 14:00:00,Long,2316.91,2314.05,0.45,2312.53,Opposite Signal,-128.7,10374.66
71,2024-04-30 14:00:00,2024-04-30 15:30:00,Short (Partial 50%),2314.05,2305.81,0.24,2314.05,Partial TP 1:2,197.75,10572.41
71,2024-04-30 14:00:00,2024-04-30 16:30:00,Short,2314.05,2308.85,0.24,2308.85,Stop Loss,124.76,10697.17
72,2024-04-30 16:30:00,2024-04-30 17:00:00,Long,2309.91,2303.81,0.32,2303.81,Stop Loss,-195.33,10501.84
73,2024-04-30 17:00:00,2024-04-30 18:15:00,Short,2300.81,2299.04,0.26,2308.38,Opposite Signal,46.02,10547.86
74,2024-04-30 18:15:00,2024-04-30 20:15:00,Long,2299.04,2292.48,0.23,2290.62,Opposite Signal,-150.88,10396.98
75,2024-04-30 20:15:00,2024-05-01 01:15:00,Short,2292.48,2290.68,0.29,2299.18,Opposite Signal,52.2,10449.18
76,2024-05-01 01:15:00,2024-05-01 03:15:00,Long,2290.68,2289.81,0.37,2285.3,Opposite Signal,-32.19,10416.99
77,2024-05-01 03:15:00,2024-05-01 08:00:00,Short,2289.81,2286.29,0.47,2294.02,Opposite Signal,165.44,10582.43
78,2024-05-01 08:00:00,2024-05-01 10:00:00,Long,2286.29,2286.53,0.57,2282.82,Opposite Signal,13.68,10596.11
79,2024-05-01 10:00:00,2024-05-01 11:45:00,Short,2286.53,2286.3,0.63,2289.7,Opposite Signal,14.49,10610.6
80,2024-05-01 11:45:00,2024-05-01 13:45:00,Long (Partial 50%),2286.3,2293.07,0.29,2286.3,Partial TP 1:2,196.31,10806.91
80,2024-05-01 11:45:00,2024-05-01 15:15:00,Long,2286.3,2295.42,0.3,2295.42,Stop Loss,273.72,11080.64
81,2024-05-01 17:15:00,2024-05-01 17:45:00,Short,2305.82,2304.5,0.32,2311.92,Opposite Signal,42.24,11122.88
