Trade ID,Entry Time,Exit Time,Direction,Entry Price,Exit Price,Lots,SL,Exit Reason,PnL ($),Equity ($)
1,2026-01-02 14:40:00,2026-01-02 14:55:00,Short,4388.05,4393.17,0.39,4393.17,Stop Loss,-199.83,99800.17
2,2026-01-02 15:10:00,2026-01-02 15:20:00,Long,4399.81,4394.41,0.37,4394.41,Stop Loss,-199.63,99600.53
3,2026-01-02 15:20:00,2026-01-02 22:55:00,Short,4381.27,4331.49,0.27,4388.47,Opposite Signal,1344.06,100944.59
4,2026-01-02 22:55:00,2026-01-05 04:05:00,Long,4331.49,4390.82,0.37,4326.14,Opposite Signal,2195.21,103139.8
5,2026-01-05 04:05:00,2026-01-05 04:30:00,Short,4390.82,4403.9,0.15,4403.9,Stop Loss,-196.13,102943.67
6,2026-01-05 08:05:00,2026-01-05 13:15:00,Long,4414.88,4427.76,0.31,4408.45,Opposite Signal,399.28,103342.95
7,2026-01-05 13:15:00,2026-01-05 16:00:00,Short,4427.76,4422.4,0.36,4433.18,Opposite Signal,192.96,103535.91
8,2026-01-05 16:00:00,2026-01-05 19:00:00,Long,4422.4,4433.54,0.23,4413.77,Opposite Signal,256.22,103792.13
9,2026-01-05 19:00:00,2026-01-05 19:15:00,Short,4433.54,4443.19,0.2,4443.19,Stop Loss,-192.97,103599.16
10,2026-01-06 01:00:00,2026-01-06 01:15:00,Long,4454.09,4449.28,0.41,4449.28,Stop Loss,-197.39,103401.77
11,2026-01-06 01:30:00,2026-01-06 03:50:00,Short,4441.21,4447.49,0.31,4447.49,Stop Loss,-194.66,103207.11
12,2026-01-06 03:50:00,2026-01-06 07:45:00,Long,4447.76,4459.82,0.26,4440.23,Opposite Signal,313.56,103520.67
13,2026-01-06 07:45:00,2026-01-06 08:35:00,Short,4459.82,4465.34,0.36,4465.34,Stop Loss,-198.56,103322.11
14,2026-01-06 08:55:00,2026-01-06 09:55:00,Long,4465.55,4459.89,0.35,4459.89,Stop Loss,-197.97,103124.13
15,2026-01-06 11:10:00,2026-01-06 13:30:00,Short,4457.83,4460.45,0.32,4464.04,Opposite Signal,-83.84,103040.29
16,2026-01-06 13:30:00,2026-01-06 15:45:00,Long,4460.45,4458.04,0.37,4455.06,Opposite Signal,-89.17,102951.12
17,2026-01-06 15:45:00,2026-01-06 15:50:00,Short,4458.04,4464.58,0.3,4464.58,Stop Loss,-196.32,102754.81
18,2026-01-06 16:05:00,2026-01-06 17:30:00,Long,4471.33,4469.8,0.27,4464.13,Opposite Signal,-41.31,102713.5
19,2026-01-06 17:30:00,2026-01-06 18:00:00,Short,4469.8,4480.01,0.19,4480.01,Stop Loss,-193.93,102519.57
20,2026-01-06 20:10:00,2026-01-06 20:25:00,Long,4491.16,4485.19,0.33,4485.19,Stop Loss,-197.07,102322.5
21,2026-01-06 21:30:00,2026-01-06 22:05:00,Short,4478.85,4484.36,0.36,4484.36,Stop Loss,-198.26,102124.24
22,2026-01-06 22:45:00,2026-01-07 02:05:00,Long,4489.96,4492.22,0.43,4485.38,Opposite Signal,97.18,102221.42
23,2026-01-07 02:05:00,2026-01-07 09:45:00,Short,4492.22,4462.13,0.51,4496.11,Opposite Signal,1534.59,103756.01
24,2026-01-07 09:45:00,2026-01-07 13:25:00,Long,4462.13,4455.44,0.29,4455.44,Stop Loss,-193.9,103562.11
25,2026-01-07 13:30:00,2026-01-07 15:45:00,Short,4455.15,4447.13,0.38,4460.32,Opposite Signal,304.76,103866.87
26,2026-01-07 15:45:00,2026-01-07 16:35:00,Long,4447.13,4437.41,0.2,4437.41,Stop Loss,-194.37,103672.5
27,2026-01-07 17:10:00,2026-01-07 17:25:00,Short,4426.7,4438.13,0.17,4438.13,Stop Loss,-194.24,103478.26
28,2026-01-07 17:30:00,2026-01-08 02:25:00,Long,4448.81,4456.8,0.16,4437.0,Opposite Signal,127.84,103606.1
29,2026-01-08 02:25:00,2026-01-08 03:05:00,Short,4456.8,4459.23,0.46,4461.14,Opposite Signal,-111.78,103494.32
30,2026-01-08 03:05:00,2026-01-08 03:30:00,Long,4459.23,4453.04,0.32,4453.04,Stop Loss,-198.08,103296.24
31,2026-01-08 03:50:00,2026-01-08 08:35:00,Short,4444.46,4434.74,0.28,4451.55,Opposite Signal,272.16,103568.4
32,2026-01-08 08:35:00,2026-01-08 10:00:00,Long,4434.74,4426.39,0.23,4426.39,Stop Loss,-191.94,103376.47
